iter	Passed	Remaining
764	7686	2361
765	7698	2351
766	7709	2341
767	7718	2331
768	7729	2321
769	7738	2311
770	7748	2301
771	7757	2291
772	7768	2281
773	7779	2271
774	7788	2261
775	7798	2251
776	7808	2241
777	7818	2230
778	7828	2220
779	7838	2210
780	7847	2200
781	7857	2190
782	7867	2180
783	7877	2170
784	7887	2160
785	7897	2150
786	7908	2140
787	7918	2130
788	7928	2120
789	7939	2110
790	7949	2100
791	7959	2090
792	7967	2079
793	7977	2069
794	7986	2059
795	7997	2049
796	8008	2039
797	8017	2029
798	8027	2019
799	8036	2009
800	8047	1999
801	8057	1989
802	8067	1979
803	8077	1969
804	8086	1958
805	8096	1948
806	8107	1938
807	8118	1929
808	8128	1918
809	8137	1908
810	8147	1898
811	8157	1888
812	8166	1878
813	8176	1868
814	8186	1858
815	8195	1847
816	8205	1837
817	8215	1827
818	8224	1817
819	8235	1807
820	8244	1797
821	8254	1787
822	8264	1777
823	8274	1767
824	8286	1757
825	8297	1747
826	8306	1737
827	8316	1727
828	8326	1717
829	8336	1707
830	8346	1697
831	8355	1687
832	8365	1677
833	8375	1667
834	8385	1657
835	8395	1646
836	8404	1636
837	8416	1627
838	8430	1617
839	8440	1607
840	8451	1597
841	8460	1587
842	8470	1577
843	8480	1567
844	8490	1557
845	8500	1547
846	8509	1537
847	8519	1527
848	8529	1517
849	8539	1506
850	8550	1497
851	8560	1487
852	8570	1476
853	8580	1466
854	8589	1456
855	8599	1446
856	8610	1436
857	8619	1426
858	8629	1416
859	8639	1406
860	8649	1396
861	8659	1386
862	8669	1376
863	8679	1366
864	8689	1356
865	8700	1346
866	8710	1336
867	8720	1326
868	8730	1316
869	8741	1306
870	8750	1296
871	8760	1285
872	8769	1275
873	8779	1265
874	8790	1255
875	8799	1245
876	8809	1235
877	8818	1225
878	8828	1215
879	8839	1205
880	8849	1195
881	8859	1185
882	8868	1175
883	8878	1165
884	8889	1155
885	8898	1145
886	8908	1134
887	8918	1124
888	8930	1115
889	8940	1105
890	8950	1094
891	8960	1084
892	8970	1074
893	8980	1064
894	8990	1054
895	8999	1044
896	9009	1034
897	9020	1024
898	9030	1014
899	9040	1004
900	9050	994
901	9059	984
902	9070	974
903	9080	964
904	9092	954
905	9103	944
906	9112	934
907	9122	924
908	9133	914
909	9142	904
910	9153	894
911	9162	884
912	9172	874
913	9185	864
914	9194	854
915	9204	844
916	9213	833
917	9224	823
918	9234	813
919	9244	803
920	9254	793
921	9265	783
922	9275	773
923	9285	763
924	9294	753
925	9305	743
926	9315	733
927	9325	723
928	9335	713
929	9344	703
930	9354	693
931	9365	683
932	9374	673
933	9384	663
934	9395	653
935	9404	643
936	9414	633
937	9424	622
938	9434	612
939	9446	602
940	9457	592
